HO Energies	HF Energies	nlj	mj	tz
15	-76.1172	 0s1/2	-1/2	1/2
15	-76.1172	 0s1/2	1/2	1/2
25	-52.2624	 0p3/2	-3/2	1/2
25	-52.2624	 0p3/2	-1/2	1/2
25	-52.2624	 0p3/2	1/2	1/2
25	-52.2624	 0p3/2	3/2	1/2
25	-49.6496	 0p1/2	-1/2	1/2
25	-49.6496	 0p1/2	1/2	1/2
35	-23.7288	 0d5/2	-5/2	1/2
35	-23.7288	 0d5/2	-3/2	1/2
35	-23.7288	 0d5/2	-1/2	1/2
35	-23.7288	 0d5/2	1/2	1/2
35	-23.7288	 0d5/2	3/2	1/2
35	-23.7288	 0d5/2	5/2	1/2
35	-19.7126	 0d3/2	-3/2	1/2
35	-19.7126	 0d3/2	-1/2	1/2
35	-19.7126	 0d3/2	1/2	1/2
35	-19.7126	 0d3/2	3/2	1/2
35	-19.4861	 1s1/2	-1/2	1/2
35	-19.4861	 1s1/2	1/2	1/2
45	-1.05197	 0f7/2	-7/2	1/2
45	-1.05197	 0f7/2	-5/2	1/2
45	-1.05197	 0f7/2	-3/2	1/2
45	-1.05197	 0f7/2	-1/2	1/2
45	-1.05197	 0f7/2	1/2	1/2
45	-1.05197	 0f7/2	3/2	1/2
45	-1.05196	 0f7/2	5/2	1/2
45	-1.05196	 0f7/2	7/2	1/2
45	3.97417	 0f5/2	-5/2	1/2
45	3.97417	 0f5/2	-3/2	1/2
45	3.97418	 0f5/2	-1/2	1/2
45	3.97418	 0f5/2	1/2	1/2
45	4.07869	 0f5/2	3/2	1/2
45	4.07869	 0f5/2	5/2	1/2
45	4.12057	 1p3/2	-3/2	1/2
45	4.12057	 1p3/2	-1/2	1/2
45	4.12058	 1p3/2	1/2	1/2
45	4.12058	 1p3/2	3/2	1/2
45	6.16943	 1p1/2	-1/2	1/2
45	6.16943	 1p1/2	1/2	1/2
