HO Energies	Calculated Energies
15	15
15	15
15	15
15	15
25	25
25	25
25	25
25	25
25	25
25	25
25	25
25	25
25	25
25	25
25	25
25	25
35	35
35	35
35	35
35	35
35	35
35	35
35	35
35	35
35	35
35	35
35	35
35	35
35	35
35	35
35	35
35	35
35	35
35	35
35	35
35	35
35	35
35	35
35	35
35	35
45	45
45	45
45	45
45	45
45	45
45	45
45	45
45	45
45	45
45	45
45	45
45	45
45	45
45	45
45	45
45	45
45	45
45	45
45	45
45	45
45	45
45	45
45	45
45	45
45	45
45	45
45	45
45	45
45	45
45	45
45	45
45	45
45	45
45	45
45	45
45	45
45	45
45	45
45	45
45	45
