HO Energies	Calculated Energies
15	-76.4075
15	-76.4075
15	-76.1172
15	-76.1172
25	-52.5212
25	-52.5212
25	-52.5211
25	-52.5211
25	-52.2624
25	-52.2624
25	-52.2624
25	-52.2624
25	-49.9071
25	-49.9071
25	-49.6496
25	-49.6496
35	-23.9147
35	-23.9147
35	-23.9147
35	-23.9147
35	-23.9147
35	-23.9147
35	-23.7288
35	-23.7288
35	-23.7288
35	-23.7288
35	-23.7288
35	-23.7288
35	-19.8967
35	-19.8967
35	-19.8967
35	-19.8967
35	-19.7126
35	-19.7126
35	-19.7126
35	-19.7126
35	-19.6565
35	-19.6565
35	-19.4861
35	-19.4861
45	-1.20069
45	-1.20069
45	-1.20068
45	-1.20068
45	-1.20068
45	-1.20068
45	-1.20068
45	-1.20068
45	-1.05197
45	-1.05197
45	-1.05197
45	-1.05197
45	-1.05197
45	-1.05197
45	-1.05196
45	-1.05196
45	3.95144
45	3.95144
45	3.95144
45	3.95144
45	3.97417
45	3.97417
45	3.97417
45	3.97417
45	3.97418
45	3.97418
45	4.07869
45	4.07869
45	4.0787
45	4.0787
45	4.12057
45	4.12057
45	4.12057
45	4.12057
45	4.12058
45	4.12058
45	6.04305
45	6.04305
45	6.16943
45	6.16943
