HO Energies	HF Energies	nlj	mj	tz
15	-76.4075	 0s1/2	-1/2	-1/2
15	-76.4075	 0s1/2	1/2	-1/2
25	-52.5212	 0p3/2	-3/2	-1/2
25	-52.5212	 0p3/2	-1/2	-1/2
25	-52.5211	 0p3/2	1/2	-1/2
25	-52.5211	 0p3/2	3/2	-1/2
25	-49.9071	 0p1/2	-1/2	-1/2
25	-49.9071	 0p1/2	1/2	-1/2
35	-23.9147	 0d5/2	-5/2	-1/2
35	-23.9147	 0d5/2	-3/2	-1/2
35	-23.9147	 0d5/2	-1/2	-1/2
35	-23.9147	 0d5/2	1/2	-1/2
35	-23.9147	 0d5/2	3/2	-1/2
35	-23.9147	 0d5/2	5/2	-1/2
35	-19.8967	 0d3/2	-3/2	-1/2
35	-19.8967	 0d3/2	-1/2	-1/2
35	-19.8967	 0d3/2	1/2	-1/2
35	-19.8967	 0d3/2	3/2	-1/2
35	-19.6565	 1s1/2	-1/2	-1/2
35	-19.6565	 1s1/2	1/2	-1/2
45	-1.20069	 0f7/2	-7/2	-1/2
45	-1.20069	 0f7/2	-5/2	-1/2
45	-1.20068	 0f7/2	-3/2	-1/2
45	-1.20068	 0f7/2	-1/2	-1/2
45	-1.20068	 0f7/2	1/2	-1/2
45	-1.20068	 0f7/2	3/2	-1/2
45	-1.20068	 0f7/2	5/2	-1/2
45	-1.20068	 0f7/2	7/2	-1/2
45	3.95144	 0f5/2	-5/2	-1/2
45	3.95144	 0f5/2	-3/2	-1/2
45	3.95144	 0f5/2	-1/2	-1/2
45	3.95144	 0f5/2	1/2	-1/2
45	3.97417	 0f5/2	3/2	-1/2
45	3.97417	 0f5/2	5/2	-1/2
45	4.0787	 1p3/2	-3/2	-1/2
45	4.0787	 1p3/2	-1/2	-1/2
45	4.12057	 1p3/2	1/2	-1/2
45	4.12057	 1p3/2	3/2	-1/2
45	6.04305	 1p1/2	-1/2	-1/2
45	6.04305	 1p1/2	1/2	-1/2
